,Comments,Comment ID,Reply Count,Like Count,Updated At,Viewer Rating
119,Very informative.,Ugxqq1i2ehkfpno-7G14AaABAg,0,5,2019-08-18T17:59:37Z,none
120,Those were some really good answers and analogies. Thanks for making this <3,Ugxk2X8Guy2KkZcXMm14AaABAg,1,27,2019-08-18T17:58:58Z,none
121,"Great video. For the person asking about how Trans people choose a new name for themselves. Since you using that for a fictional character, it would be a good idea to take what the character is as an individual and couple that with the different ways Riley has described to choose how that character chooses a new name, since gender is just one part of a miriad of things that makes up an individual.",UgxKK33nIF30H47Ct4F4AaABAg,1,15,2019-08-18T17:56:55Z,none
122,Thank you for this. It's helpful. 💛💜💙💚🧡♥️🌈🌼🕊️,UgzO8aA2hjmZulq2YMp4AaABAg,1,29,2019-08-18T17:52:40Z,none
123,hey i'm that,Ugy96DjyZ0QbJS_jmSF4AaABAg,1,13,2019-08-18T17:30:48Z,none
124,💛,Ugys5iBCP3isvT8cBSt4AaABAg,2,10,2019-08-18T17:27:24Z,none
125,"This is so usefull, I want to be respectfull, but it is kind of scary  to ask. So thank you so much",UgzORwMYOzQmHvpGSa14AaABAg,0,13,2019-08-18T17:03:07Z,none
126,"'Y'all' is a wonderful, accidental gender neutral pronoun and is already in the common lexicon.",Ugzt3TMA27e2_s8gvOV4AaABAg,7,165,2019-08-18T16:48:44Z,none
127,Thank you this was quite informative.,UgxhLPz6vKySy-nub_Z4AaABAg,1,39,2019-08-18T16:47:43Z,none
128,Thank you for speaking to Non-Binary folk so much Riley <3 it means a lot,UgyvTNsE_BdYieJ6jy14AaABAg,1,147,2019-08-18T16:46:01Z,none
129,names that are trans magnet for any gender: ALEX and SAM,UgzpeVHivDH3pi4oJhx4AaABAg,0,4,2019-08-18T16:43:40Z,none
130,"also idk why but at every job i've held i've gotten a talking to about not using ""sir"" or ""ma'am"" when talking with customers. i'm not talking about ""excuse me, ma'am"" when calling out to a customer (this occurs more frequently in retail than fast food and the latter is where i've always worked) but just talking to them at a register and saying, ""your order will be ready in a moment. thank you"" instead of ""your order will be ready in a moment. thank you, sir.""",UgylO8R4C0jIQNDjTRZ4AaABAg,0,0,2019-08-18T16:19:30Z,none
131,pls discord community,UgwM96klQrOQwiFrxS14AaABAg,0,5,2019-08-18T16:15:11Z,none
132,"i have to say, gate keepers in the trans community have triggered my dysphoria way more times than any ""trender"" has.",UgzzpOAJXMBDKIuCWW94AaABAg,0,11,2019-08-18T16:11:09Z,none
133,I think that Riley looks more and more like Dana from the L word 😍,UgxpHGabMoy6852IqYB4AaABAg,0,3,2019-08-18T16:03:31Z,none
134,"I'm an early transition girl and honestly im really glad you made this video for a few reasons, i can show this to my parents and friends that don't quite get it yet, lucky for me unlike a lot of trans people (that i can't help but feel sorry for them) my dad is fine with it just confused still. 2nd reason is that I personally never understood Non-Binary as a concept but this really helps me get their thoughts, personally won't 100% understand cuz I've never felt like neither M or F, I've always been a girl so I won't know what's that like to think like and the 3rd reason is because this answers questions I never fully know how to answer to people who ask me about being trans, thanks Riley <3",Ugyea2Qsk3xNRRLxBUd4AaABAg,0,10,2019-08-18T16:00:04Z,none
135,Holy Crap! The sibling analogy was brilliant. The world is 20% cooler because of you!,UgycoRorOz5XHCLcXHp4AaABAg,0,1,2019-08-18T15:42:44Z,none
136,"💛💙💜💚❤ 💠🌺⚪🌺💠
Thanks for the vid and all the info you give for those that need to know.",Ugw44qQi3y531-NsBuB4AaABAg,1,16,2019-08-18T15:39:44Z,none
137,"Trans 101? Nice. 

I am super early. Also Riley your HAIR! I love it!!!",UgyctEMNryT3sIErjHp4AaABAg,1,99,2019-08-18T15:34:59Z,none
